Date,Month,Day,Price,Open,High,Low,Volume,Chg%
"Sep 04, 2020",Sep,Fri,1365.2,1348,1369,1348,318.12K,-0.0026
"Sep 03, 2020",Sep,Thu,1368.7,1366,1388,1361.2,499.63K,0.0066
"Sep 02, 2020",Sep,Wed,1359.75,1363,1369.9,1353.1,246.51K,0.0061
"Sep 01, 2020",Sep,Tue,1351.5,1336,1365,1336,334.56K,0.0054
"Aug 31, 2020",Aug,Mon,1344.25,1399,1399,1336,582.69K,-0.0163
"Aug 28, 2020",Aug,Fri,1366.5,1366,1379.8,1362.55,323.81K,-0.0007
"Aug 27, 2020",Aug,Thu,1367.5,1374.5,1384,1365,330.14K,-0.0013
"Aug 26, 2020",Aug,Wed,1369.3,1345.05,1387.2,1342.2,1.10M,0.0205
"Aug 25, 2020",Aug,Tue,1341.75,1348,1355.65,1340,364.44K,0.0027
"Aug 24, 2020",Aug,Mon,1338.1,1342,1350,1335.3,349.57K,-0.0028
"Aug 21, 2020",Aug,Fri,1341.8,1350.1,1358.9,1335.5,427.63K,-0.0039
"Aug 20, 2020",Aug,Thu,1347.05,1345,1357.45,1332.25,610.63K,-0.0108
"Aug 19, 2020",Aug,Wed,1361.8,1386,1402,1338,1.28M,-0.0115
"Aug 18, 2020",Aug,Tue,1377.65,1380,1389.9,1375,342.01K,-0.0043
"Aug 17, 2020",Aug,Mon,1383.55,1378,1403.6,1360.3,870.69K,0.0109
"Aug 14, 2020",Aug,Fri,1368.6,1385.05,1409.5,1350.05,986.50K,-0.0112
"Aug 13, 2020",Aug,Thu,1384.1,1398,1411.9,1375.1,688.94K,-0.0019
"Aug 12, 2020",Aug,Wed,1386.8,1350,1414,1350,1.76M,0.0108
"Aug 11, 2020",Aug,Tue,1372.05,1324,1384.3,1315.05,1.11M,0.0365
"Aug 10, 2020",Aug,Mon,1323.75,1332,1337,1320.45,307.78K,-0.0057
"Aug 07, 2020",Aug,Fri,1331.35,1335,1339,1330,270.31K,-0.0024
"Aug 06, 2020",Aug,Thu,1334.55,1337.5,1347.05,1330.2,300.34K,-0.0018
"Aug 05, 2020",Aug,Wed,1336.95,1345,1347,1335,221.23K,-0.0021
"Aug 04, 2020",Aug,Tue,1339.8,1336,1347.9,1335.2,226.48K,0.0001
"Aug 03, 2020",Aug,Mon,1339.7,1337,1362,1334.2,293.42K,0.0029
"Jul 31, 2020",Jul,Fri,1335.85,1345.8,1346.7,1332.15,214.88K,-0.0036
"Jul 30, 2020",Jul,Thu,1340.7,1351,1359.95,1340,261.62K,-0.0089
"Jul 29, 2020",Jul,Wed,1352.75,1345,1369,1343.05,385.50K,0.0054
"Jul 28, 2020",Jul,Tue,1345.55,1345,1354,1340,256.36K,0.0005
"Jul 27, 2020",Jul,Mon,1344.85,1358,1361.05,1342.05,320.92K,-0.0096
"Jul 24, 2020",Jul,Fri,1357.85,1365.1,1372,1356,376.20K,-0.01
"Jul 23, 2020",Jul,Thu,1371.5,1373.1,1386,1365.05,419.22K,-0.0011
"Jul 22, 2020",Jul,Wed,1372.95,1395,1398.7,1370,458.14K,-0.0124
"Jul 21, 2020",Jul,Tue,1390.2,1381.5,1412.2,1376.45,1.16M,0.01
"Jul 20, 2020",Jul,Mon,1376.45,1380,1389,1371,505.50K,0.004
"Jul 17, 2020",Jul,Fri,1370.95,1374,1400,1366.7,807.95K,0.0049
"Jul 16, 2020",Jul,Thu,1364.2,1355,1379,1335,528.44K,0.0091
"Jul 15, 2020",Jul,Wed,1351.95,1365.15,1379,1350,554.12K,-0.0075
"Jul 14, 2020",Jul,Tue,1362.15,1387,1387,1355.55,755.57K,-0.0252
"Jul 13, 2020",Jul,Mon,1397.35,1444,1444,1386.35,1.33M,-0.0026
"Jul 10, 2020",Jul,Fri,1400.95,1375,1444,1360,1.83M,0.0115
"Jul 09, 2020",Jul,Thu,1385.05,1396,1400,1381.15,353.00K,-0.0036
"Jul 08, 2020",Jul,Wed,1390.1,1397,1413.35,1384.6,472.31K,-0.0052
"Jul 07, 2020",Jul,Tue,1397.4,1410,1411,1390.05,480.21K,-0.0024
"Jul 06, 2020",Jul,Mon,1400.75,1405.5,1415.5,1394,614.93K,-0.0031
"Jul 03, 2020",Jul,Fri,1405.1,1415,1425,1398,599.49K,-0.0051
"Jul 02, 2020",Jul,Thu,1412.35,1440,1467.8,1395.3,2.16M,0.0362
"Jul 01, 2020",Jul,Wed,1363.05,1363.65,1377,1356,383.00K,0.0032
